# x,y,z
14.7043963627,-10.4188075716,50.9575487700
13.6945267362,-11.6460458182,49.7931681081
12.6792604241,-12.7164236067,48.6253972305
11.6647641056,-13.6400773191,47.4710027253
10.6565425716,-14.4281966178,46.3439589267
9.6594338453,-15.0925084728,45.2555829880
8.6776230155,-15.6448485262,44.2147376468
7.7146705857,-16.0968197492,43.2280760120
6.7735514682,-16.4595331538,42.3003070078
5.8567011123,-16.7434223993,41.4344642598
4.9660658168,-16.9581219310,40.6321661812
4.1031547648,-17.1123981201,39.8938583917
3.2690918468,-17.2141228751,39.2190332467
2.4646658052,-17.2702801174,38.6064238393
1.6903776532,-17.2869966636,38.0541718352
0.9464846620,-17.2695903418,37.5599699278
0.2330404946,-17.2226294504,37.1211806452
-0.4500687086,-17.1499988725,36.7349338127
-1.1030923229,-17.0549692080,36.3982052322
-1.7263872132,-16.9402661777,36.1078791968
-2.3203934959,-16.8081383830,35.8607974047
-2.8856138567,-16.6604220006,35.6537966022
-3.4225961373,-16.4986015540,35.4837371012
-3.9319189028,-16.3238662140,35.3475240330
-4.4141796890,-16.1371613671,35.2421229532
-4.8699856376,-15.9392353816,35.1645711486
-5.2999462396,-15.7306816143,35.1119857903
-5.7046679174,-15.5119758201,35.0815698232
-6.0847501994,-15.2835091437,35.0706163468
-6.4407832509,-15.0456169320,35.0765120331
-6.7733465533,-14.7986035993,35.0967400084
-7.0830085625,-14.5427637498,35.1288824447
-7.3703271022,-14.2783998698,35.1706231999
-7.6358503635,-14.0058367962,35.2197505011
-7.8801184207,-13.7254330983,35.2741596945
-8.1036650526,-13.4375896914,35.3318561617
-8.3070197543,-13.1427559025,35.3909582693
-8.4907098977,-12.8414331067,35.4497002820
-8.6552628957,-12.5341762100,35.5064351685
-8.8012082901,-12.2215932043,35.5596371482
-8.9290797060,-11.9043429994,35.6079038592
-9.0394166721,-11.5831315759,35.6499581383
-9.1327660180,-11.2587072834,35.6846489725
-9.2096832549,-10.9318544959,35.7109520855
-9.2707334451,-10.6033868335,35.7279695243
-9.3164918820,-10.2741394934,35.7349285904
-9.3475443200,-9.9449613599,35.7311797878
-9.3644869816,-9.6167067507,35.7161940460
-9.3679261758,-9.2902272090,35.6895590103
-9.3584776359,-8.9663634322,35.6509745361
-9.3367655804,-8.6459374722,35.6002475015
-9.3034214884,-8.3297454479,35.5372858332
-9.2590826764,-8.0185507695,35.4620920365
-9.2043906584,-7.7130780637,35.3747561702
-9.1399893467,-7.4140078944,35.2754484260
-9.0665231488,-7.1219721520,35.1644114990
-8.9846349610,-6.8375504367,35.0419527287
-8.8949641152,-6.5612671267,34.9084362101
-8.7981443114,-6.2935894726,34.7642749465
-8.6948015727,-6.0349262773,34.6099231646
-8.5855522487,-5.7856275985,34.4458688754
-8.4710010837,-5.5459849343,34.2726267102
-8.3517394065,-5.3162322950,34.0907312151
-8.2283434169,-5.0965476701,33.9007305012
-8.1013726357,-4.8870551818,33.7031804645
-7.9713684827,-4.6878275604,33.4986394351
-7.8388530364,-4.4988890728,33.2876634282
-7.7043279491,-4.3202186891,33.0708018864
-7.5682735350,-4.1517535072,32.8485939662
-7.4311480508,-3.9933923050,32.6215654104
-7.2933871159,-3.8449992028,32.3902258333
-7.1554033098,-3.7064073301,32.1550665185
-7.0175859473,-3.5774224994,31.9165587323
-6.8803009766,-3.4578268142,31.6751523653
-6.7438910518,-3.3473821370,31.4312750529
-6.6086756976,-3.2458334927,31.1853315328
-6.4749516421,-3.1529122074,30.9377034335
-6.3429932153,-3.0683390047,30.6887492308
-6.2130528837,-2.9918267401,30.4388045196
-6.0853618378,-2.9230831090,30.1881824329
-5.9601306812,-2.8618129616,29.9371742586
-5.8375501665,-2.8077205812,29.6860501936
-5.7177919918,-2.7605115867,29.4350601834
-5.6010096378,-2.7198947730,29.1844348885
-5.4873392330,-2.6855836236,28.9343866545
-5.3769004521,-2.6572977352,28.6851105871
-5.2697974231,-2.6347640027,28.4367856096
-5.1661196416,-2.6177176098,28.1895755160
-5.0659428895,-2.6059029312,27.9436300676
-4.9693301461,-2.5990742217,27.6990860286
-4.8763324899,-2.5969961936,27.4560681971
-4.7869899850,-2.5994444649,27.2146904006
-4.7013325465,-2.6062058916,26.9750564519
-4.6193807843,-2.6170787976,26.7372610649
-4.5411468196,-2.6318731174,26.5013907246
-4.4666350796,-2.6504104286,26.2675245169
-4.3958430523,-2.6725239526,26.0357349049
-4.3287620063,-2.6980584889,25.8060884499
-4.2653776962,-2.7268702529,25.5786465100
-4.2056710205,-2.7588267056,25.3534658779
-4.1496186454,-2.7938063376,25.1305993718
-4.0971936057,-2.8316983915,24.9100964057
-4.0483658549,-2.8724026052,24.6920034925
-4.0031027973,-2.9158288897,24.4763647367
-3.9613697758,-2.9618970198,24.2632222742
-3.9231305379,-3.0105362893,24.0526166939
-3.8883476613,-3.0616851756,23.8445874218
-3.8569829547,-3.1152909810,23.6391730850
-3.8289978257,-3.1713094871,23.4364118486
-3.8043536234,-3.2297045924,23.2363417331
-3.7830119507,-3.2904479650,23.0390009126
-3.7649349537,-3.3535186838,22.8444279960
-3.7500855818,-3.4189029033,22.6526622957
-3.7384278273,-3.4865935089,22.4637440830
-3.7299269442,-3.5565897631,22.2777148296
-3.7245496418,-3.6288969887,22.0946174484
-3.7222642578,-3.7035262441,21.9144965205
-3.7230409097,-3.7804940084,21.7373985181
-3.7268516382,-3.8598218531,21.5633720276
-3.7336705199,-3.9415361528,21.3924679648
-3.7434737708,-4.0256677804,21.2247397915
-3.7562398362,-4.1122517971,21.0602437325
-3.7719494576,-4.2013271741,20.8990389902
-3.7905857325,-4.2929364940,20.7411879631
-3.8121341589,-4.3871256578,20.5867564662
-3.8365826626,-4.4839436005,20.4358139545
-3.8639216165,-4.5834419956,20.2884337489
-3.8941438462,-4.6856749607,20.1446932673
-3.9272446248,-4.7906987589,20.0046742588
-3.9632216545,-4.8985714909,19.8684630431
-4.0020750367,-5.0093527814,19.7361507544
-4.0438072312,-5.1231034552,19.6078335893
-4.0884230046,-5.2398851973,19.4836130599
-4.1359293666,-5.3597602020,19.3635962495
-4.1863354948,-5.4827908024,19.2478960725
-4.2396526472,-5.6090390811,19.1366315381
-4.2958940634,-5.7385664588,19.0299280134
-4.3550748519,-5.8714332569,18.9279174892
-4.4172118651,-6.0076982335,18.8307388448
-4.4823235590,-6.1474180886,18.7385381094
-4.5504298405,-6.2906469353,18.6514687236
-4.6215518967,-6.4374357341,18.5696917856
-4.6957120111,-6.5878316891,18.4933763007
-4.7729333592,-6.7418775995,18.4226994079
-4.8532397871,-6.8996111663,18.3578465954
-4.9366555730,-7.0610642506,18.2990119045
-5.0232051621,-7.2262620780,18.2463980894
-5.1129128870,-7.3952223903,18.2002167771
-5.2058026585,-7.5679545382,18.1606885668
-5.3018976351,-7.7444585139,18.1280431049
-5.4012198660,-7.9247239207,18.1025191157
-5.5037899041,-8.1087288816,18.0843643541
-5.6096263940,-8.2964388734,18.0738355372
-5.7187456252,-8.4878055074,18.0711981571
-5.8311610563,-8.6827652281,18.0767262521
-5.9468828048,-8.8812379596,18.0907020604
-6.0659171020,-9.0831256844,18.1134155722
-6.1882657120,-9.2883109182,18.1451640274
-6.3139253154,-9.4966551985,18.1862511874
-6.4428868549,-9.7079975257,18.2369864580
-6.5751348365,-9.9221526103,18.2976840246
-6.7106466037,-10.1389092531,18.3686616442
-6.8493915786,-10.3580287214,18.4502392476
-6.9913304329,-10.5792428499,18.5427375128
-7.1364142577,-10.8022524090,18.6464760639
-7.2845837116,-11.0267255683,18.7617714201
-7.4357680682,-11.2522959727,18.8889348527
-7.5898842929,-11.4785612420,19.0282698668
-7.7468361320,-11.7050817407,19.1800694129
-7.9065130914,-11.9313790188,19.3446128427
-8.0687894690,-12.1569346865,19.5221626224
-8.2335233521,-12.3811893980,19.7129606916
-8.4005556250,-12.6035421252,19.9172245247
-8.5697090533,-12.8233499923,20.1351430029
-8.7407872797,-13.0399279656,20.3668718247
-8.9135739763,-13.2525493214,20.6125289235
-9.0878319938,-13.4604464259,20.8721894673
-9.2633025693,-13.6628119961,21.1458806115
-9.4397047219,-13.8588011417,21.4335764376
-9.6167346198,-14.0475337409,21.7351922406
-9.7940652062,-14.2280976872,22.0505793607
-9.9713459239,-14.3995528201,22.3795197469
-10.1482025859,-14.5609355837,22.7217204618
-10.3242375612,-14.7112644473,23.0768090905
-10.4990300484,-14.8495463240,23.4443285351
-10.6721366934,-14.9747835225,23.8237330744
-10.8430924556,-15.0859816999,24.2143846884
-11.0114117405,-15.1821587799,24.6155497429
-11.1765898704,-15.2623538749,25.0263973434
-11.3381048905,-15.3256380015,25.4459977312
-11.4954196798,-15.3711244645,25.8733223537
-11.6479844087,-15.3979796224,26.3072452270
-11.7952393692,-15.4054346684,26.7465452438
-11.9366181219,-15.3927973025,27.1899100085
-12.0715509925,-15.3594630742,27.6359414224
-12.1994688503,-15.3049263078,28.0831627490
-12.3198072094,-15.2287911526,28.5300271247
-12.4320104937,-15.1307814196,28.9749275131
-12.5355366209,-15.0107496444,29.4162085275
-12.6298616261,-14.8686846493,29.8521792494
-12.7144844858,-14.7047180017,30.2811276609
-12.7889318337,-14.5191285242,30.7013355504
-12.8527627920,-14.3123450554,31.1110950128
-12.9055735266,-14.0849471593,31.5087247311
-12.9470017525,-13.8376635871,31.8925873010
-12.9767308244,-13.5713688273,32.2611056523
-12.9944936043,-13.2870768850,32.6127800111
-13.0000758079,-12.9859336426,32.9462032993
-12.9933189183,-12.6692064011,33.2600761155
-12.9741225353,-12.3382718520,33.5532201343
-12.9424461140,-11.9946022666,33.8245898626
-12.8983100542,-11.6397502476,34.0732824626
-12.8417961658,-11.2753322503,34.2985457090
-12.7730473946,-10.9030111759,34.4997834677
-12.6922669342,-10.5244786987,34.6765591102
-12.5997165810,-10.1414371495,34.8285962332
-12.4957145718,-9.7555818688,34.9557775486
-12.3806326856,-9.3685838945,35.0581409741
-12.2548929245,-8.9820736791,35.1358741715
-12.1189636004,-8.5976258493,35.1893067173
-11.9733550885,-8.2167454208,35.2189009616
-11.8186151818,-7.8408555578,35.2252412263
-11.6553242067,-7.4712871702,35.2090219670
-11.4840899579,-7.1092701825,35.1710350964
-11.3055425168,-6.7559269605,35.1121566749
-11.1203290611,-6.4122672701,35.0333334173
-10.9291087161,-6.0791855193,34.9355691235
-10.7325475256,-5.7574592849,34.8199113845
-10.5313136151,-5.4477499576,34.6874387699
-10.3260725726,-5.1506044706,34.5392486070
-10.1174831326,-4.8664586921,34.3764456443
-9.9061931679,-4.5956417561,34.2001315939
-9.6928360303,-4.3383814909,34.0113956920
-9.4780272804,-4.0948105865,33.8113064051
-9.2623617642,-3.8649733780,33.6009040971
-9.0464111330,-3.6488330660,33.3811950039
-8.8307216828,-3.4462792172,33.1531460334
-8.6158126543,-3.2571353453,32.9176808964
-8.4021747993,-3.0811665860,32.6756768517
-8.1902694113,-2.9180871180,32.4279627559
-7.9805275917,-2.7675674719,32.1753176099
-7.7733498772,-2.6292414841,31.9184700340
-7.5691061251,-2.5027129123,31.6580983147
-7.3681356598,-2.3875616328,31.3948310324
-7.1707476544,-2.2833494066,31.1292481906
-6.9772217013,-2.1896251664,30.8618826999
-6.7878085789,-2.1059298436,30.5932222427
-6.6027311341,-2.0318007018,30.3237112837
-6.4221853298,-1.9667752299,30.0537533853
-6.2463413718,-1.9103945578,29.7837135721
-6.0753449136,-1.8622064605,29.5139207705
-5.9093183466,-1.8217679304,29.2446703365
-5.7483621077,-1.7886473794,28.9762265099
-5.5925560261,-1.7624264861,28.7088248649
-5.4419606933,-1.7427016854,28.4426747128
-5.2966188004,-1.7290854179,28.1779613581
-5.1565565061,-1.7212070388,27.9148483342
-5.0217847560,-1.7187135260,27.6534794776
-4.8923005779,-1.7212699645,27.3939808904
-4.7680883473,-1.7285598321,27.1364627915
-4.6491210058,-1.7402851255,26.8810212317
-4.5353612361,-1.7561663361,26.6277396892
-4.4267625873,-1.7759423034,26.3766905394
-4.3232705471,-1.7993699657,26.1279364067
-4.2248235618,-1.8262240152,25.8815313997
-4.1313540027,-1.8562964685,25.6375222363
-4.0427890682,-1.8893962372,25.3959492739
-3.9590516434,-1.9253485726,25.1568474315
-3.8800611001,-1.9639945201,24.9202470306
-3.8057340404,-2.0051903379,24.6861745491
-3.7359849914,-2.0488068943,24.4546533006
-3.6707270466,-2.0947290627,24.2257040448
-3.6098724579,-2.1428551099,23.9993455358
-3.5533331843,-2.1930960807,23.7755950117
-3.5010213909,-2.2453751978,23.5544686367
-3.4528499068,-2.2996272603,23.3359818952
-3.4087326413,-2.3557980674,23.1201499492
-3.3685849621,-2.4138438462,22.9069879581
-3.3323240357,-2.4737307062,22.6965113708
-3.2998691341,-2.5354341062,22.4887361889
-3.2711419083,-2.5989383538,22.2836792152
-3.2460666324,-2.6642361032,22.0813582695
-3.2245704200,-2.7313278914,21.8817924007
-3.2065834118,-2.8002216959,21.6850020843
-3.1920389392,-2.8709325115,21.4910094085
-3.1808736691,-2.9434819353,21.2998382498
-3.1730277210,-3.0178977991,21.1115144527
-3.1684447717,-3.0942137923,20.9260659947
-3.1670721371,-3.1724691210,20.7435231582
-3.1688608396,-3.2527081831,20.5639187003
-3.1737656613,-3.3349802514,20.3872880217
-3.1817451797,-3.4193391817,20.2136693432
-3.1927617942,-3.5058431280,20.0431038821
-3.2067817392,-3.5945542728,19.8756360372
-3.2237750871,-3.6855385682,19.7113135781
-3.2437157402,-3.7788654839,19.5501878423
-3.2665814131,-3.8746077656,19.3923139411
-3.2923536076,-3.9728411957,19.2377509726
-3.3210175785,-4.0736443594,19.0865622451
-3.3525622916,-4.1770984112,18.9388155107
-3.3869803746,-4.2832868411,18.7945832077
-3.4242680600,-4.3922952378,18.6539427161
-3.4644251219,-4.5042110466,18.5169766211
-3.5074548043,-4.6191233189,18.3837729903
-3.5533637434,-4.7371224527,18.2544256629
-3.6021618822,-4.8582999204,18.1290345474
-3.6538623765,-4.9827479778,18.0077059322
-3.7084814936,-5.1105593566,17.8905528075
-3.7660385058,-5.2418269396,17.7776952007
-3.8265555670,-5.3766434000,17.6692605132
-3.8900575839,-5.5151008189,17.5653838731
-3.9565720842,-5.6572902796,17.4662085038
-4.0261290562,-5.8033014043,17.3718860775
-4.0987607889,-5.9532218685,17.2825770932
-4.1745017016,-6.1071368761,17.1984512632
-4.2533881408,-6.2651285618,17.1196878699
-4.3354581783,-6.4272753658,17.0464761538
-4.4207513901,-6.5936513498,16.9790156968
-4.5093085986,-6.7643254284,16.9175167529
-4.6011716150,-6.9393605619,16.8622006248
-4.6963829529,-7.1188128721,16.8133000062
-4.7949855006,-7.3027306614,16.7710592460
-4.8970221912,-7.4911533804,16.7357346737
-5.0025356322,-7.6841104982,16.7075948465
-5.1115676915,-7.8816202741,16.6869206900
-5.2241590719,-8.0836884493,16.6740057021
-5.3403488367,-8.2903068359,16.6691560177
-5.4601738930,-8.5014518089,16.6726903727
-5.5836684470,-8.7170826799,16.6849400905
-5.7108634027,-8.9371399896,16.7062488331
-5.8417857178,-9.1615436809,16.7369722896
-5.9764577176,-9.3901911413,16.7774778022
-6.1148963506,-9.6229552175,16.8281436764
-6.2571123939,-9.8596820453,16.8893584640
-6.4031096041,-10.1001888011,16.9615200314
-6.5528838181,-10.3442614835,17.0450342700
-6.7064219830,-10.5916524231,17.1403137809
-6.8637011413,-10.8420778663,17.2477761703
-7.0246873689,-11.0952156080,17.3678419948
-7.1893346193,-11.3507022978,17.5009325876
-7.3575835615,-11.6081311027,17.6474673684
-7.5293603497,-11.8670492917,17.8078608349
-7.7045753055,-12.1269556544,17.9825192418
-7.8831216548,-12.3872985687,18.1718367817
-8.0648741415,-12.6474737753,18.3761913688
-8.2496876222,-12.9068224083,18.5959399807
-8.4373957718,-13.1646298804,18.8314136381
-8.6278096010,-13.4201243113,19.0829117326
-8.8207160884,-13.6724758088,19.3506960292
-9.0158769489,-13.9207966567,19.6349844401
-9.2130272733,-14.1641414287,19.9359439982
-9.4118743471,-14.4015080579,20.2536837743
-9.6120965205,-14.6318396494,20.5882472047
-9.8133423007,-14.8540274065,20.9396045419
-10.0152295447,-15.0669143740,21.3076448867
-10.2173448311,-15.2693000980,21.6921681475
-10.4192431368,-15.4599465347,22.0928773899
-10.6204476848,-15.6375851977,22.5093708154
-10.8204502221,-15.8009254329,22.9411349407
-11.0187115193,-15.9486641745,23.3875373917
-11.2146623292,-16.0794965810,23.8478213732
-11.4077047247,-16.1921284064,24.3211004092
-11.5972138914,-16.2852891640,24.8063546009
-11.7825404119,-16.3577464901,25.3024283396
-11.9630130372,-16.4083219028,25.8080292671
-12.1379419129,-16.4359062058,26.3217296882
-12.3066224060,-16.4394766149,26.8419695188
-12.4683393876,-16.4181137687,27.3670614290
-12.6223720508,-16.3710186297,27.8951986094
-12.7679991520,-16.2975287016,28.4244648607
-12.9045047286,-16.1971341476,28.9528469884
-13.0311841408,-16.0694923480,29.4782496311
-13.1473504650,-15.9144410048,29.9985125098
-13.2523411052,-15.7320092266,30.5114298360
-13.3455245040,-15.5224264255,31.0147713613
-13.4263069342,-15.2861283766,31.5063053327
-13.4941391510,-15.0237604337,31.9838222724
-13.5485229117,-14.7361772721,32.4451599715
-13.5890170857,-14.4244396367,32.8882280765
-13.6152434004,-14.0898070261,33.3110330891
-13.6268915587,-13.7337276634,33.7117018578
-13.6237237113,-13.3578243531,34.0885041691
-13.6055781539,-12.9638778711,34.4398731547
-13.5723721361,-12.5538069263,34.7644234017
-13.5241037556,-12.1296463327,35.0609660813
-13.4608528679,-11.6935227054,35.3285210560
-13.3827809720,-11.2476290177,35.5663253552
-13.2901301226,-10.7941983092,35.7738382493
-13.1832207584,-10.3354769795,35.9507422490
-13.0624487158,-9.8736986492,36.0969410830
-12.9282811717,-9.4110586858,36.2125534017
-12.7812519636,-8.9496903410,36.2979040993
-12.6219560120,-8.4916426715,36.3535118705
-12.4510432931,-8.0388607647,36.3800749661
-12.2692122127,-7.5931685422,36.3784543321
-12.0772026810,-7.1562544464,36.3496554272
-11.8757889348,-6.7296598516,36.2948088228
-11.6657722457,-6.3147708386,36.2151501195
-11.4479736518,-5.9128123569,36.1119997607
-11.2232268123,-5.5248459403,35.9867430451
-10.9923710777,-5.1517691868,35.8408107454
-10.7562448884,-4.7943184173,35.6756607411
-10.5156795686,-4.4530733181,35.4927608917
-10.2714935827,-4.1284630441,35.2935733086
-10.0244872932,-3.8207743417,35.0795402917
-9.7754382603,-3.5301607441,34.8520719519
-9.5250971079,-3.2566526458,34.6125355615
-9.2741839676,-3.0001681358,34.3622466914
-9.0233854926,-2.7605241691,34.1024620303
-8.7733524182,-2.5374478869,33.8343738135
-8.5246976795,-2.3305878790,33.5591058083
-8.2779950335,-2.1395251781,33.2777106773
-8.0337781451,-1.9637839072,32.9911685685
-7.7925401440,-1.8028413228,32.7003868902
-7.5547335550,-1.6561373204,32.4062009761
-7.3207706057,-1.5230832152,32.1093756122
-7.0910238465,-1.4030698200,31.8106072199
-6.8658270481,-1.2954747719,31.5105265858
-6.6454763420,-1.1996691127,31.2097020224
-6.4302315508,-1.1150231280,30.9086428161
-6.2203176881,-1.0409114731,30.6078028967
-6.0159265839,-0.9767176130,30.3075846250
-5.8172186084,-0.9218376170,30.0083426226
-5.6243244645,-0.8756833518,29.7103875854
-5.4373470247,-0.8376851187,29.4139900237
-5.2563631884,-0.8072937840,29.1193838889
-5.0814257411,-0.7839824502,28.8267700542
-4.9125651987,-0.7672477151,28.5363196230
-4.7497916201,-0.7566105669,28.2481770467
-4.5930963752,-0.7516169683,27.9624630408
-4.4424538748,-0.7518381075,27.6792773048
-4.2978232176,-0.7568704857,27.3987010205
-4.1591497690,-0.7663357846,27.1207991283
-4.0263667060,-0.7798804734,26.8456224616
-3.8993964344,-0.7971754020,26.5732096088
-3.7781519789,-0.8179151338,26.3035886702
-3.6625382488,-0.8418173146,26.0367787695
-3.5524532565,-0.8686218772,25.7727914532
-3.4477892393,-0.8980902389,25.5116319083
-3.3484337170,-0.9300044334,25.2533000564
-3.2542704648,-0.9641662257,24.9977915129
-3.1651804160,-1.0003962129,24.7450984318
-3.0810424960,-1.0385329138,24.4952102439
-3.0017343833,-1.0784318742,24.2481143017
-2.9271332112,-1.1199647692,24.0037964364
-2.8571162016,-1.1630185420,23.7622414448
-2.7915612453,-1.2074945426,23.5234335012
-2.7303474254,-1.2533077041,23.2873565189
-2.6733554837,-1.3003857588,23.0539944548
-2.6204682454,-1.3486684641,22.8233315729
-2.5715709927,-1.3981068815,22.5953526672
-2.5265517995,-1.4486626753,22.3700432533
-2.4853018231,-1.5003074571,22.1473897318
-2.4477155618,-1.5530221615,21.9273795287
-2.4136910772,-1.6067964564,21.7100012170
-2.3831301864,-1.6616281916,21.4952446219
-2.3559386246,-1.7175228805,21.2831009154
-2.3320261831,-1.7744932160,21.0735626996
-2.3113068226,-1.8325586204,20.8666240846
-2.2936987643,-1.8917448269,20.6622807612
-2.2791245636,-1.9520834921,20.4605300707
-2.2675111649,-2.0136118389,20.2613710745
-2.2587899411,-2.0763723270,20.0648046234
-2.2528967193,-2.1404123520,19.8708334306
-2.2497717945,-2.2057839661,19.6794621427
-2.2493599319,-2.2725436280,19.4906974207
-2.2516103589,-2.3407519797,19.3045480317
-2.2564767507,-2.4104736301,19.1210249275
-2.2639172073,-2.4817769701,18.9401413464
-2.2738942262,-2.5547340097,18.7619129271
-2.2863746673,-2.6294202186,18.5863578106
-2.3013297148,-2.7059143909,18.4134967658
-2.3187348373,-2.7842985266,18.2433533298
-2.3385697414,-2.8646577172,18.0759539425
-2.3608183251,-2.9470800474,17.9113281014
-2.3854686299,-3.0316565062,17.7495085334
-2.4125127900,-3.1184809039,17.5905313672
-2.4419469796,-3.2076497959,17.4344363242
-2.4737713634,-3.2992624104,17.2812669265
-2.5079900420,-3.3934205799,17.1310707130
-2.5446109981,-3.4902286735,16.9838994714
-2.5836460430,-3.5897935262,16.8398094898
-2.6251107617,-3.6922243679,16.6988618200
-2.6690244567,-3.7976327480,16.5611225584
-2.7154100921,-3.9061324483,16.4266631459
-2.7642942361,-4.0178393913,16.2955606844
-2.8157070008,-4.1328715374,16.1678982726
-2.8696819812,-4.2513487623,16.0437653602
-2.9262561914,-4.3733927215,15.9232581229
-2.9854699970,-4.4991266977,15.8064798576
-3.0473670441,-4.6286754186,15.6935413973
-3.1119941830,-4.7621648506,15.5845615470
-3.1794013872,-4.8997219689,15.4796675441
-3.2496416648,-5.0414744820,15.3789955336
-3.3227709624,-5.1875505292,15.2826910712
-3.3988480616,-5.3380783357,15.1909096464
-3.4779344595,-5.4931858020,15.1038172155
-3.5600942456,-5.6530000703,15.0215907714
-3.6453939599,-5.8176470171,14.9444189217
-3.7339024296,-5.9872506664,14.8725024716
-3.8256906047,-6.1619325754,14.8060550530
-3.9208313580,-6.3418111050,14.7453037334
-4.0193992656,-6.5270006112,14.6904896376
-4.1214703770,-6.7176105828,14.6418686093
-4.2271219354,-6.9137446257,14.5997118105
-4.3364320833,-7.1154993771,14.5643063617
-4.4494795382,-7.3229633126,14.5359559785
-4.5663432082,-7.5362153814,14.5149815053
-4.6871017953,-7.7553235646,14.5017215252
-4.8118333432,-7.9803432700,14.4965328802
-4.9406147205,-8.2113155531,14.4997910593
-5.0735210855,-8.4482652253,14.5118906871
-5.2106252678,-8.6911987660,14.5332457831
-5.3519970888,-8.9401020605,14.5642899070
-5.4977026414,-9.1949379659,14.6054763598
-5.6478034692,-9.4556436998,14.6572779825
-5.8023556861,-9.7221280190,14.7201869297
-5.9614090225,-9.9942681928,14.7947143118
-6.1250057699,-10.2719068728,14.8813893090
-6.2931796514,-10.5548486481,14.9807583342
-6.4659545970,-10.8428564685,15.0933837819
-6.6433434255,-11.1356480551,15.2198421805
-6.8253464186,-11.4328918384,15.3607223916
-7.0119498098,-11.7342030324,15.5166230579
-7.2031241818,-12.0391396974,15.6881494898
